date;class;focuses;uf
2023/01;Desmatamento Consolidado;2;ACRE
2023/01;Desmatamento Consolidado;1;AMAPÁ
2023/01;Desmatamento Consolidado;9;AMAZONAS
2023/01;Desmatamento Consolidado;64;MARANHÃO
2023/01;Desmatamento Consolidado;94;MATO GROSSO
2023/01;Desmatamento Consolidado;148;PARÁ
2023/01;Desmatamento Consolidado;15;RONDÔNIA
2023/01;Desmatamento Consolidado;54;RORAIMA
2023/01;Desmatamento Consolidado;3;TOCANTINS
2023/01;Desmatamento Recente;2;ACRE
2023/01;Desmatamento Recente;22;AMAZONAS
2023/01;Desmatamento Recente;3;MARANHÃO
2023/01;Desmatamento Recente;29;MATO GROSSO
2023/01;Desmatamento Recente;31;PARÁ
2023/01;Desmatamento Recente;15;RONDÔNIA
2023/01;Desmatamento Recente;25;RORAIMA
2023/01;Desmatamento Recente;1;TOCANTINS
2023/01;Floresta;5;ACRE
2023/01;Floresta;2;AMAPÁ
2023/01;Floresta;25;AMAZONAS
2023/01;Floresta;7;MARANHÃO
2023/01;Floresta;19;MATO GROSSO
2023/01;Floresta;57;PARÁ
2023/01;Floresta;8;RONDÔNIA
2023/01;Floresta;108;RORAIMA
2023/01;Floresta;2;TOCANTINS
2023/01;Outros;5;AMAPÁ
2023/01;Outros;3;AMAZONAS
2023/01;Outros;7;MARANHÃO
2023/01;Outros;15;MATO GROSSO
2023/01;Outros;17;PARÁ
2023/01;Outros;3;RONDÔNIA
2023/01;Outros;118;RORAIMA
2023/01;Vegetacao Secundaria;1;ACRE
2023/01;Vegetacao Secundaria;11;AMAZONAS
2023/01;Vegetacao Secundaria;24;MARANHÃO
2023/01;Vegetacao Secundaria;8;MATO GROSSO
2023/01;Vegetacao Secundaria;77;PARÁ
2023/01;Vegetacao Secundaria;3;RONDÔNIA
2023/01;Vegetacao Secundaria;20;RORAIMA
2023/01;Vegetacao Secundaria;2;TOCANTINS
2023/02;Desmatamento Consolidado;1;ACRE
2023/02;Desmatamento Consolidado;3;AMAZONAS
2023/02;Desmatamento Consolidado;5;MARANHÃO
2023/02;Desmatamento Consolidado;270;MATO GROSSO
2023/02;Desmatamento Consolidado;49;PARÁ
2023/02;Desmatamento Consolidado;13;RONDÔNIA
2023/02;Desmatamento Consolidado;9;RORAIMA
2023/02;Desmatamento Consolidado;4;TOCANTINS
2023/02;Desmatamento Recente;11;AMAZONAS
2023/02;Desmatamento Recente;1;MARANHÃO
2023/02;Desmatamento Recente;39;MATO GROSSO
2023/02;Desmatamento Recente;8;PARÁ
2023/02;Desmatamento Recente;8;RONDÔNIA
2023/02;Desmatamento Recente;5;RORAIMA
2023/02;Desmatamento Recente;1;TOCANTINS
2023/02;Floresta;2;AMAZONAS
2023/02;Floresta;1;MARANHÃO
2023/02;Floresta;26;MATO GROSSO
2023/02;Floresta;16;PARÁ
2023/02;Floresta;4;RONDÔNIA
2023/02;Floresta;27;RORAIMA
2023/02;Floresta;4;TOCANTINS
2023/02;Outros;6;AMAZONAS
2023/02;Outros;12;MATO GROSSO
2023/02;Outros;5;PARÁ
2023/02;Outros;88;RORAIMA
2023/02;Vegetacao Secundaria;1;MARANHÃO
2023/02;Vegetacao Secundaria;7;MATO GROSSO
2023/02;Vegetacao Secundaria;9;PARÁ
